recordType,subject,issuer,ticker,action,transactionCode,transactionDate,periodEnd,filingDate,shares,previousShares,currentShares,shareChange,reportedValue,evidenceGrade,factualStatus,accessionNumber,sourceUrl
"insider-transaction","Olivan Javier","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-06","","2026-07-08","2076","","","","1246437.2507999998","A","reported-insider-market-transaction","0000950103-26-010417","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010417/ownership.xml"
"insider-transaction","Olivan Javier","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-06","","2026-07-08","816","","","","490779.44639999996","A","reported-insider-market-transaction","0000950103-26-010417","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010417/ownership.xml"
"insider-transaction","Olivan Javier","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-06","","2026-07-08","376","","","","226588.2784","A","reported-insider-market-transaction","0000950103-26-010417","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010417/ownership.xml"
"insider-transaction","Olivan Javier","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-06","","2026-07-08","80","","","","48251.2","A","reported-insider-market-transaction","0000950103-26-010417","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010417/ownership.xml"
"insider-transaction","Olivan Javier","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-06","","2026-07-08","246","","","","147600","A","reported-insider-market-transaction","0000950103-26-010417","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010417/ownership.xml"
"insider-transaction","Olivan Javier","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-06","","2026-07-08","171","","","","102600","A","reported-insider-market-transaction","0000950103-26-010417","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010417/ownership.xml"
"insider-transaction","Olivan Javier","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-06","","2026-07-08","246","","","","147600","A","reported-insider-market-transaction","0000950103-26-010417","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010417/ownership.xml"
"insider-transaction","Olivan Javier","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-06","","2026-07-08","736","","","","441834.7104","A","reported-insider-market-transaction","0000950103-26-010417","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010417/ownership.xml"
"insider-transaction","Olivan Javier","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-06","","2026-07-08","314","","","","188853.0392","A","reported-insider-market-transaction","0000950103-26-010417","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010417/ownership.xml"
"insider-transaction","Olivan Javier","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-06","","2026-07-08","174","","","","104877.90839999999","A","reported-insider-market-transaction","0000950103-26-010417","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010417/ownership.xml"
"insider-transaction","Sankar Shyam","Palantir Technologies Inc.","PLTR","derivative-conversion","C","2026-07-02","","2026-07-07","35000","","","","0","A","reported-insider-other-transaction","0001824159-26-000009","https://www.sec.gov/Archives/edgar/data/1321655/000182415926000009/wk-form4_1783468921.xml"
"insider-transaction","Sankar Shyam","Palantir Technologies Inc.","PLTR","open-market-sale","S","2026-07-02","","2026-07-07","35000","","","","4550000","A","reported-insider-market-transaction","0001824159-26-000009","https://www.sec.gov/Archives/edgar/data/1321655/000182415926000009/wk-form4_1783468921.xml"
"insider-transaction","Sankar Shyam","Palantir Technologies Inc.","PLTR","open-market-sale","S","2026-07-02","","2026-07-07","150000","","","","19500000","A","reported-insider-market-transaction","0001824159-26-000009","https://www.sec.gov/Archives/edgar/data/1321655/000182415926000009/wk-form4_1783468921.xml"
"insider-transaction","Sankar Shyam","Palantir Technologies Inc.","PLTR","derivative-conversion","C","2026-07-02","","2026-07-07","35000","","","","0","A","reported-insider-other-transaction","0001824159-26-000009","https://www.sec.gov/Archives/edgar/data/1321655/000182415926000009/wk-form4_1783468921.xml"
"insider-transaction","COXE TENCH","NVIDIA CORP","NVDA","gift","G","2026-07-01","","2026-07-06","500000","","","","0","A","reported-insider-other-transaction","0001197647-26-000005","https://www.sec.gov/Archives/edgar/data/1045810/000119764726000005/wk-form4_1783371701.xml"
"insider-transaction","KIMMITT ROBERT M","Meta Platforms, Inc.","META","open-market-sale","S","2026-07-01","","2026-07-06","500","","","","303875","A","reported-insider-market-transaction","0000950103-26-010283","https://www.sec.gov/Archives/edgar/data/1326801/000095010326010283/ownership.xml"
"insider-transaction","Herrington Douglas J","AMAZON COM INC","AMZN","open-market-sale","S","2026-07-01","","2026-07-02","1000","","","","239770","A","reported-insider-market-transaction","0001018724-26-000022","https://www.sec.gov/Archives/edgar/data/1018724/000101872426000022/wk-form4_1783023822.xml"
"insider-transaction","STEVENS MARK A","NVIDIA CORP","NVDA","award-or-acquisition","A","2026-06-25","","2026-06-29","1211","","","","0","A","reported-insider-other-transaction","0001199039-26-000009","https://www.sec.gov/Archives/edgar/data/1045810/000119903926000009/wk-form4_1782767219.xml"
"insider-transaction","Shah Aarti S.","NVIDIA CORP","NVDA","award-or-acquisition","A","2026-06-25","","2026-06-29","1211","","","","0","A","reported-insider-other-transaction","0001725292-26-000004","https://www.sec.gov/Archives/edgar/data/1045810/000172529226000004/wk-form4_1782767179.xml"
"insider-transaction","SEAWELL A BROOKE","NVIDIA CORP","NVDA","award-or-acquisition","A","2026-06-25","","2026-06-29","1211","","","","0","A","reported-insider-other-transaction","0001197652-26-000007","https://www.sec.gov/Archives/edgar/data/1045810/000119765226000007/wk-form4_1782767137.xml"
"insider-transaction","Neal Stephen C","NVIDIA CORP","NVDA","award-or-acquisition","A","2026-06-25","","2026-06-29","1211","","","","0","A","reported-insider-other-transaction","0001768670-26-000004","https://www.sec.gov/Archives/edgar/data/1045810/000176867026000004/wk-form4_1782767093.xml"
"insider-transaction","LORA MELISSA","NVIDIA CORP","NVDA","award-or-acquisition","A","2026-06-25","","2026-06-29","1211","","","","0","A","reported-insider-other-transaction","0001284116-26-000004","https://www.sec.gov/Archives/edgar/data/1045810/000128411626000004/wk-form4_1782767057.xml"
